netMosAvg,d2cLossAvg,e2eJitterAvg,d2cJitterAvg,e2eLossAvg,jitDepthAvg,playSpeedAvg
1.0100799999999999,54,844,844,54,3778,1.0
1.0,65,990,990,65,4069,1.0
1.0,84,970,970,84,4147,1.0
2.7356700000000003,37,331,331,37,4225,1.0
3.59248,12,218,218,12,3819,1.0
2.35765,27,472,472,27,2999,1.0
1.7068900000000002,38,642,642,38,2829,1.0
1.0338,55,912,912,55,3532,1.0
0.999387,69,961,961,69,4073,1.0
1.0,85,1124,1124,85,4155,1.0
3.72986,13,92,92,13,4192,1.0
3.1724099999999997,18,294,294,18,3502,1.0
2.19806,31,523,523,31,2756,1.0
1.12034,46,749,749,46,3033,1.0
0.999936,61,978,978,61,4008,1.0
1.0,75,1018,1018,75,4084,1.0
1.0,91,1070,1070,91,4137,1.0
3.61268,11,134,134,11,4051,1.0
2.93602,21,375,375,21,3191,1.0
1.63532,36,609,609,36,2554,1.0
1.06925,51,836,836,51,3208,1.0
1.0,66,1019,1019,66,3857,1.0
1.0,82,1119,1119,82,4144,1.0
3.21807,27,303,303,27,4209,1.0
3.5934199999999996,11,207,207,11,3802,1.0
2.49422,27,421,421,27,2962,1.0
1.41524,41,704,704,41,2833,1.0
0.9998549999999999,56,809,809,56,3583,1.0
1.0,72,999,999,72,4094,1.0
1.0,88,1056,1056,88,4264,1.0
3.56607,15,87,87,15,4296,1.0
3.35388,17,287,287,17,3626,1.0
1.9892900000000002,33,516,516,33,2866,1.0
1.15539,46,798,798,46,2935,1.0
1.0,63,930,930,63,3935,1.0
1.0,78,895,895,78,4144,1.0
1.0,90,1142,1142,90,4176,1.0
3.60689,13,140,140,13,4057,1.0
2.9527,22,365,365,22,3197,1.0
1.44318,39,606,606,39,2607,1.0
0.998394,54,782,782,54,3312,1.0
1.0,67,1003,1003,67,3811,1.0
1.0,82,961,961,82,4125,1.0
3.5671699999999995,16,231,231,16,4185,1.0
3.4842,13,220,220,13,3777,1.0
2.42843,28,455,455,28,2977,1.0
1.41849,42,651,651,42,2868,1.0
0.999865,55,960,960,55,3995,1.0
1.0,72,975,975,72,4151,1.0
1.0,85,1002,1002,85,4260,1.0
3.69224,13,101,101,13,4307,1.0
3.26232,17,285,285,17,3597,1.0
2.14683,31,520,520,31,2837,1.0
1.21489,46,727,727,46,3167,1.0
1.0,63,907,907,63,3604,1.0
1.0,76,1033,1033,76,4109,1.0
1.0,90,1073,1073,90,4128,1.0
3.58596,10,134,134,10,4031,1.0
2.82179,23,390,390,23,3171,1.0
1.6596799999999998,35,610,610,35,2720,1.0
1.02483,50,887,887,50,3578,1.0
1.0,65,1008,1008,65,4211,1.0
1.0,82,1133,1133,82,4288,1.0
3.2004599999999996,28,205,205,28,4356,1.0
3.6101400000000003,11,204,204,11,3948,1.0
2.50979,27,460,460,27,3128,1.0
1.20713,43,687,687,43,2800,1.0
1.0,56,873,873,56,3716,1.0
1.0,71,953,953,71,4077,1.0
1.0,87,1015,1015,87,4144,1.0
3.6679800000000005,13,99,99,13,4185,1.0
3.5106800000000002,14,293,293,14,3495,1.0
1.98386,32,536,536,32,2695,1.0
1.10319,47,725,725,47,3117,1.0
1.02096,61,890,890,61,3877,1.0
1.0,74,1054,1054,74,4124,1.0
1.0,92,1141,1141,92,4217,1.0
3.76482,9,146,146,9,4119,1.0
2.81847,23,362,362,23,3239,1.0
1.706,37,655,655,37,2671,1.0
1.02354,52,748,748,52,2743,1.0
1.0,69,964,964,69,3810,1.0
1.0,82,1013,1013,82,4128,1.0
3.20043,28,316,316,28,4206,1.0
3.55692,12,209,209,12,3799,1.0
2.4920400000000003,26,450,450,26,2979,1.0
1.4756200000000002,40,671,671,40,2692,1.0
1.00885,56,867,867,56,3663,1.0
1.0,72,1054,1054,72,4105,1.0
1.0,88,1069,1069,88,4151,1.0
3.65427,14,95,95,14,4196,1.0
3.30566,17,284,284,17,3506,1.0
2.1464,31,533,533,31,2746,1.0
1.08029,47,710,710,47,2762,1.0
1.0,61,963,963,61,3821,1.0
1.0,75,1014,1014,75,4135,1.0
1.0,89,1089,1089,89,4207,1.0
3.6566400000000003,12,148,148,12,4110,1.0
2.7353,23,392,392,23,3250,1.0
1.8075599999999998,36,563,563,36,2733,1.0
1.05446,51,811,811,51,3141,1.0
1.0,65,969,969,65,4047,1.0
1.0,84,936,936,84,4105,1.0
2.77093,37,347,347,37,4145,1.0
3.7147900000000003,10,227,227,10,3737,1.0
2.52978,26,467,467,26,2897,1.0
1.41108,41,661,661,41,2749,1.0
1.00747,55,858,858,55,3155,1.0
1.0,72,1095,1095,72,3891,1.0
1.0,86,1098,1098,86,4165,1.0
3.68089,14,95,95,14,4194,1.0
3.26404,17,279,279,17,3504,1.0
2.00051,32,540,540,32,2724,1.0
1.14347,49,744,744,49,2819,1.0
1.0,62,930,930,62,3653,1.0
1.0,77,1108,1108,77,4124,1.0
1.0,88,930,930,88,4139,1.0
3.7918800000000004,7,143,143,7,4055,1.0
2.97425,22,375,375,22,3195,1.0
1.68665,37,594,594,37,2637,1.0
1.03386,49,782,782,49,3300,1.0
1.0,68,914,914,68,3888,1.0
1.0,82,995,995,82,4102,1.0
3.58775,17,237,237,17,4180,1.0
3.6627400000000003,12,227,227,12,3774,1.0
2.5715,26,438,438,26,2954,1.0
1.28977,41,667,667,41,2894,1.0
1.0,56,884,884,56,3485,1.0
1.0,72,946,946,72,3893,1.0
1.0,85,1004,1004,85,4119,1.0
3.66629,13,174,174,13,4175,1.0
3.17068,18,302,302,18,3485,1.0
2.08269,34,530,530,34,2725,1.0
1.1483,48,785,785,48,2827,1.0
1.0,62,889,889,62,3805,1.0
1.0,76,1002,1002,76,4110,1.0
1.0,91,827,827,91,4167,1.0
3.85195,7,142,142,7,4071,1.0
2.5706700000000002,24,361,361,24,3211,1.0
1.5614700000000001,39,585,585,39,2625,1.0
0.9991469999999999,54,737,737,54,2972,1.0
1.0,66,909,909,66,3821,1.0
1.0,81,952,952,81,4136,1.0
3.20043,28,330,330,28,4193,1.0
3.5780800000000004,12,222,222,12,3784,1.0
2.43551,27,456,456,27,2964,1.0
1.2300799999999998,42,663,663,42,2651,1.0
1.05211,56,865,865,56,3593,1.0
1.0,71,980,980,71,4019,1.0
1.0,86,1170,1170,86,4146,1.0
3.66336,13,170,170,13,4152,1.0
3.3122800000000003,16,281,281,16,3462,1.0
2.16591,30,519,519,30,2682,1.0
1.18435,48,785,785,48,3048,1.0
1.0,60,946,946,60,3849,1.0
1.0,78,966,966,78,4179,1.0
1.0,89,1198,1198,89,4317,1.0
3.6350599999999997,8,138,138,8,4222,1.0
2.90591,22,363,363,22,3362,1.0
1.73531,36,633,633,36,2686,1.0
1.00753,52,800,800,52,3451,1.0
1.0,65,930,930,65,4133,1.0
1.0,80,1071,1071,80,4172,1.0
2.57317,39,293,293,39,4219,1.0
3.5698199999999995,11,221,221,11,3812,1.0
2.41035,28,439,439,28,2992,1.0
1.35941,41,718,718,41,3143,1.0
1.0,58,931,931,58,3624,1.0
1.0,72,918,918,72,3986,1.0
1.0,88,1049,1049,88,4063,1.0
3.7180400000000002,12,95,95,12,4094,1.0
3.2851800000000004,17,302,302,17,3384,1.0
2.03356,31,477,477,31,2624,1.0
1.26004,44,737,737,44,3058,1.0
1.0090000000000001,63,918,918,63,3707,1.0
1.0,79,1017,1017,79,4099,1.0
1.0,90,970,970,90,4161,1.0
3.5865199999999997,12,147,147,12,4056,1.0
2.93451,21,416,416,21,3196,1.0
1.5703799999999999,37,598,598,37,2700,1.0
1.06585,50,837,837,50,3692,1.0
1.0,65,973,973,65,4062,1.0
1.0,82,1033,1033,82,4192,1.0
2.73447,38,348,348,38,4233,1.0
3.56576,13,223,223,13,3826,1.0
2.5495200000000002,26,423,423,26,3026,1.0
1.3704,42,664,664,42,2702,1.0
0.999547,58,874,874,58,3673,1.0
1.0,73,925,925,73,4118,1.0
1.0,86,1120,1120,86,4187,1.0
3.36496,18,197,197,18,4220,1.0
3.11445,17,296,296,17,3510,1.0
2.07052,33,574,574,33,2750,1.0
1.1279700000000001,47,784,784,47,3211,1.0
1.00226,59,882,882,59,3948,1.0
1.0,78,1029,1029,78,4100,1.0
1.0,87,1092,1092,87,4127,1.0
3.6198699999999997,12,137,137,12,4013,1.0
2.95542,22,393,393,22,3153,1.0
1.6789900000000002,37,623,623,37,2598,1.0
1.05928,52,781,781,52,3180,1.0
1.0,66,985,985,66,3879,1.0
1.0,80,946,946,80,4261,1.0
3.06609,28,185,185,28,4343,1.0
3.6318300000000003,11,218,218,11,3917,1.0
2.61985,26,423,423,26,3117,1.0
1.4305700000000001,41,674,674,41,2869,1.0
1.00109,57,883,883,57,3536,1.0
1.0,72,1013,1013,72,3882,1.0
